id,app,name,applied
1,contenttypes,0001_initial,2021-09-22 20:42:17.793466
2,auth,0001_initial,2021-09-22 20:42:17.820291
3,admin,0001_initial,2021-09-22 20:42:17.828668
4,admin,0002_logentry_remove_auto_add,2021-09-22 20:42:17.842411
5,admin,0003_logentry_add_action_flag_choices,2021-09-22 20:42:17.852053
6,contenttypes,0002_remove_content_type_name,2021-09-22 20:42:17.868512
7,auth,0002_alter_permission_name_max_length,2021-09-22 20:42:17.880176
8,auth,0003_alter_user_email_max_length,2021-09-22 20:42:17.888260
9,auth,0004_alter_user_username_opts,2021-09-22 20:42:17.895451
10,auth,0005_alter_user_last_login_null,2021-09-22 20:42:17.905310
11,auth,0006_require_contenttypes_0002,2021-09-22 20:42:17.907029
12,auth,0007_alter_validators_add_error_messages,2021-09-22 20:42:17.920319
13,auth,0008_alter_user_username_max_length,2021-09-22 20:42:17.930952
14,auth,0009_alter_user_last_name_max_length,2021-09-22 20:42:17.938649
15,auth,0010_alter_group_name_max_length,2021-09-22 20:42:17.948333
16,auth,0011_update_proxy_permissions,2021-09-22 20:42:17.953614
17,auth,0012_alter_user_first_name_max_length,2021-09-22 20:42:17.962894
18,sessions,0001_initial,2021-09-22 20:42:17.966275
19,fdl,0001_initial,2021-09-22 21:23:51.863419
20,fdl,0002_todo,2021-09-22 22:59:14.942187
21,fdl,0003_menuitem,2021-09-23 00:14:37.719920
22,fdl,0004_auto_20211004_1628,2021-10-04 16:28:35.397346
23,fdl,0005_menuitem_dietary,2021-10-04 18:35:51.276913
24,fdl,0006_alter_menuitem_dietary,2021-10-04 18:36:35.068875
25,fdl,0007_alter_menuitem_time,2021-10-04 18:41:40.283984
26,fdl,0008_alter_menuitem_dietary,2021-10-04 18:44:39.254358
27,fdl,0009_auto_20211004_1847,2021-10-04 18:47:14.440724
28,fdl,0010_restaurant_long_lat,2021-10-04 19:17:38.740763
29,fdl,0011_auto_20211004_1920,2021-10-04 19:20:53.014232
30,fdl,0012_auto_20211004_1921,2021-10-04 19:21:38.807137
31,fdl,0013_alter_menuitem_time,2021-10-04 19:44:26.398984
32,fdl,0014_alter_menuitem_dietary,2021-10-04 19:51:32.959182
33,fdl,0015_alter_menuitem_dietary,2021-10-04 19:52:40.540682
34,fdl,0016_alter_menuitem_time,2021-10-04 19:57:36.185288
35,fdl,0017_alter_menuitem_time,2021-10-04 20:07:31.787685
36,fdl,0018_auto_20211005_0057,2021-10-05 00:57:35.794701
37,fdl,0019_restaurant_coordinates,2021-10-05 02:45:46.767622
