id,item,price,description,day,restaurant_id,time,dietary,close_time,open_time
2,Green Mango Chaat,9.99,"Fresh green mango tossed with peanuts, golden raisins, corn poha (Indian corn flakes), onion, & cilantro. Topped with green chutney, lime & curry leaves.",all_days,1,lunch_dinner,vegetarian,21,11
3,Aloo Tikki Chaat,10.99,"Crispy Indian potato fritters (two) topped with crunchy chickpea noodles (sev) and served with spiced garbanzo bean stew. Tamarind chutney, green chutney, and sweetened yogurt are served on the side in the takeout version of this dish. To make it just like we would serve it if you were dining in simply add the potato fritters to the stew and top with tamarind chutney, then green chutney and lastly the sweet yogurt and its ready to be enjoyed!
*Dietary Modifications*
Dairy Free- Do not add sweet yogurt.
Gluten-free- n/a
Vegan- n/a",all_days,1,lunch_dinner,vegetarian,21,11
4,Chicken Pakoras,10.99,"Joyce Farms chicken seasoned w/ Kashmiri spices in a curried chickpea
batter. Served with green chutney & sweet yogurt.
*Dietary Restrictions*
Dairy-free- Substitute the sweet yogurt on the side for one of our vegan chutneys (tamarind or green chutney)
Gluten-free- 99% gluten-free (fried in a shared fryer)",all_days,1,lunch_dinner,none,21,11
5,Desi Chicken Salad,12.99,"Marinated and grilled chicken on a bed of shredded white & red cabbage, carrots, and scallions, topped with toasted sesame seeds, cilantro, and sev, with a cumin-lime
vinaigrette.",all_days,1,lunch_dinner,none,21,11
6,Papadum,1.99,5 thin lentil flatbread crisps served with green and tamarind chutneys.,all_days,1,lunch_dinner,vegetarian,21,11
7,Kheer,4.99,Kheer - rice pudding dessert,all_days,1,lunch_dinner,none,21,11
8,Kids Cheese Paratha,3.99,Mozzarella cheese melted between flaky layered flatbread. Served with sweet yogurt.,all_days,1,lunch_dinner,vegetarian,21,11
9,To-Go Cholle & Rice,8.99,"Garbanzo beans slow-cooked in a spicy-sweet broth with tamarind, jaggery, onions and tomatoes. served with basmati rice, masala slaw and raita. To be made vegan substitute the raita for green or tamarind chutney.",all_days,1,lunch_dinner,vegetarian,21,11
10,Smoked Pulled Chicken Plate,15.0,"tossed in red BBQ sauce, pickles",all_days,2,lunch_dinner,none,21,11
11,Smoky Fried NC Catfish Plate,18.0,"lightly smoked, cornmeal breaded, bbq sauce, tartar sauce, lemon, pickles",all_days,2,lunch_dinner,none,21,11
12,Skillet Cornbread,8.0,farm and sparrow cornmeal w/ honey lard,all_days,2,lunch_dinner,vegetarian,21,11
